Origin Name,Origin Code,Destination Name,Destination Code,Departure Date,Arrival Date,Duration,Operator,Transport Type,Fare,Origin ID,Destination ID,Service ID
Bridgwater,183,Bristol,13,31/10/2024 03:12,2024-10-31T04:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85427172
Bridgwater,183,Bristol,13,31/10/2024 04:12,2024-10-31T05:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85437420
Bridgwater,183,Bristol,13,31/10/2024 05:12,2024-10-31T06:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85447668
Bridgwater,183,Bristol,13,31/10/2024 06:12,2024-10-31T07:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85457916
Bridgwater,183,Bristol,13,31/10/2024 07:13,2024-10-31T08:36:00,PT1H23M,megabus Falcon,coach,11.2,183,13,85488131
Bridgwater,183,Bristol,13,31/10/2024 08:14,2024-10-31T09:36:00,PT1H22M,megabus Falcon,coach,11.2,183,13,85498379
Bridgwater,183,Bristol,13,31/10/2024 09:20,2024-10-31T10:38:00,PT1H18M,megabus Falcon,coach,11.2,183,13,85510307
Bridgwater,183,Bristol,13,31/10/2024 10:20,2024-10-31T11:38:00,PT1H18M,megabus Falcon,coach,11.2,183,13,85520555
Bridgwater,183,Bristol,13,31/10/2024 11:30,2024-10-31T12:49:00,PT1H19M,megabus Falcon,coach,11.2,183,13,85529123
Bridgwater,183,Bristol,13,31/10/2024 12:47,2024-10-31T14:05:00,PT1H18M,megabus Falcon,coach,9.25,183,13,85538111
Bridgwater,183,Bristol,13,31/10/2024 13:45,2024-10-31T15:06:00,PT1H21M,megabus Falcon,coach,9.25,183,13,85549619
Bridgwater,183,Bristol,13,31/10/2024 14:45,2024-10-31T16:07:00,PT1H22M,megabus Falcon,coach,9.25,183,13,85559867
Bridgwater,183,Bristol,13,31/10/2024 15:47,2024-10-31T17:07:00,PT1H20M,megabus Falcon,coach,9.25,183,13,85571795
Bridgwater,183,Bristol,13,31/10/2024 16:48,2024-10-31T18:07:00,PT1H19M,megabus Falcon,coach,9.25,183,13,85582043
Bridgwater,183,Bristol,13,31/10/2024 17:51,2024-10-31T19:08:00,PT1H17M,megabus Falcon,coach,9.25,183,13,85592291
Bridgwater,183,Bristol,13,31/10/2024 18:49,2024-10-31T20:04:00,PT1H15M,megabus Falcon,coach,9.25,183,13,85602539
Bridgwater,183,Bristol,13,31/10/2024 20:03,2024-10-31T21:15:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85611107
Bridgwater,183,Bristol,13,31/10/2024 21:13,2024-10-31T22:25:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85621355
Bridgwater,183,Bristol,13,31/10/2024 23:13,2024-11-01T00:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85631603
Bridgwater,183,Bristol,13,01/11/2024 01:13,2024-11-01T02:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85641851
Bridgwater,183,Bristol,13,01/11/2024 03:12,2024-11-01T04:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85427200
Bridgwater,183,Bristol,13,01/11/2024 04:12,2024-11-01T05:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85437448
Bridgwater,183,Bristol,13,01/11/2024 05:12,2024-11-01T06:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85447696
Bridgwater,183,Bristol,13,01/11/2024 06:12,2024-11-01T07:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85457944
Bridgwater,183,Bristol,13,01/11/2024 07:13,2024-11-01T08:36:00,PT1H23M,megabus Falcon,coach,11.2,183,13,85488159
Bridgwater,183,Bristol,13,01/11/2024 08:14,2024-11-01T09:36:00,PT1H22M,megabus Falcon,coach,11.2,183,13,85498407
Bridgwater,183,Bristol,13,01/11/2024 09:20,2024-11-01T10:38:00,PT1H18M,megabus Falcon,coach,11.2,183,13,85510335
Bridgwater,183,Bristol,13,01/11/2024 10:20,2024-11-01T11:38:00,PT1H18M,megabus Falcon,coach,11.2,183,13,85520583
Bridgwater,183,Bristol,13,01/11/2024 11:30,2024-11-01T12:49:00,PT1H19M,megabus Falcon,coach,11.2,183,13,85529151
Bridgwater,183,Bristol,13,01/11/2024 12:47,2024-11-01T14:05:00,PT1H18M,megabus Falcon,coach,9.25,183,13,85538139
Bridgwater,183,Bristol,13,01/11/2024 13:45,2024-11-01T15:06:00,PT1H21M,megabus Falcon,coach,9.25,183,13,85549647
Bridgwater,183,Bristol,13,01/11/2024 14:45,2024-11-01T16:07:00,PT1H22M,megabus Falcon,coach,9.25,183,13,85559895
Bridgwater,183,Bristol,13,01/11/2024 15:47,2024-11-01T17:07:00,PT1H20M,megabus Falcon,coach,9.25,183,13,85571823
Bridgwater,183,Bristol,13,01/11/2024 16:48,2024-11-01T18:07:00,PT1H19M,megabus Falcon,coach,9.25,183,13,85582071
Bridgwater,183,Bristol,13,01/11/2024 17:51,2024-11-01T19:08:00,PT1H17M,megabus Falcon,coach,9.25,183,13,85592319
Bridgwater,183,Bristol,13,01/11/2024 18:49,2024-11-01T20:04:00,PT1H15M,megabus Falcon,coach,9.25,183,13,85602567
Bridgwater,183,Bristol,13,01/11/2024 20:03,2024-11-01T21:15:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85611135
Bridgwater,183,Bristol,13,01/11/2024 21:13,2024-11-01T22:25:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85621383
Bridgwater,183,Bristol,13,01/11/2024 23:13,2024-11-02T00:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85631631
Bridgwater,183,Bristol,13,02/11/2024 01:13,2024-11-02T02:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85641879
Bridgwater,183,Bristol,13,02/11/2024 03:12,2024-11-02T04:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85427228
Bridgwater,183,Bristol,13,02/11/2024 04:12,2024-11-02T05:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85437476
Bridgwater,183,Bristol,13,02/11/2024 05:12,2024-11-02T06:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85447724
Bridgwater,183,Bristol,13,02/11/2024 06:12,2024-11-02T07:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85457972
Bridgwater,183,Bristol,13,02/11/2024 07:13,2024-11-02T08:36:00,PT1H23M,megabus Falcon,coach,11.2,183,13,85488187
Bridgwater,183,Bristol,13,02/11/2024 08:14,2024-11-02T09:36:00,PT1H22M,megabus Falcon,coach,11.2,183,13,85498435
Bridgwater,183,Bristol,13,02/11/2024 09:13,2024-11-02T10:33:00,PT1H20M,megabus Falcon,coach,11.2,183,13,85505463
Bridgwater,183,Bristol,13,02/11/2024 10:14,2024-11-02T11:34:00,PT1H20M,megabus Falcon,coach,11.2,183,13,85515711
Bridgwater,183,Bristol,13,02/11/2024 11:30,2024-11-02T12:49:00,PT1H19M,megabus Falcon,coach,11.2,183,13,85529179
Bridgwater,183,Bristol,13,02/11/2024 12:45,2024-11-02T14:06:00,PT1H21M,megabus Falcon,coach,9.25,183,13,85543515
Bridgwater,183,Bristol,13,02/11/2024 13:45,2024-11-02T15:06:00,PT1H21M,megabus Falcon,coach,9.25,183,13,85549675
Bridgwater,183,Bristol,13,02/11/2024 14:45,2024-11-02T16:07:00,PT1H22M,megabus Falcon,coach,9.25,183,13,85559923
Bridgwater,183,Bristol,13,02/11/2024 15:44,2024-11-02T17:05:00,PT1H21M,megabus Falcon,coach,9.25,183,13,85566951
Bridgwater,183,Bristol,13,02/11/2024 16:45,2024-11-02T18:05:00,PT1H20M,megabus Falcon,coach,9.25,183,13,85577199
Bridgwater,183,Bristol,13,02/11/2024 17:45,2024-11-02T19:01:00,PT1H16M,megabus Falcon,coach,9.25,183,13,85587447
Bridgwater,183,Bristol,13,02/11/2024 18:44,2024-11-02T19:59:00,PT1H15M,megabus Falcon,coach,9.25,183,13,85597695
Bridgwater,183,Bristol,13,02/11/2024 20:03,2024-11-02T21:15:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85611163
Bridgwater,183,Bristol,13,02/11/2024 21:13,2024-11-02T22:25:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85621411
Bridgwater,183,Bristol,13,02/11/2024 23:13,2024-11-03T00:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85631659
Bridgwater,183,Bristol,13,03/11/2024 01:13,2024-11-03T02:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85641907
Bridgwater,183,Bristol,13,03/11/2024 03:12,2024-11-03T04:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85427256
Bridgwater,183,Bristol,13,03/11/2024 04:12,2024-11-03T05:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85437504
Bridgwater,183,Bristol,13,03/11/2024 05:12,2024-11-03T06:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85447752
Bridgwater,183,Bristol,13,03/11/2024 06:12,2024-11-03T07:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85458000
Bridgwater,183,Bristol,13,03/11/2024 07:13,2024-11-03T08:36:00,PT1H23M,megabus Falcon,coach,11.2,183,13,85488215
Bridgwater,183,Bristol,13,03/11/2024 08:14,2024-11-03T09:36:00,PT1H22M,megabus Falcon,coach,11.2,183,13,85498463
Bridgwater,183,Bristol,13,03/11/2024 09:13,2024-11-03T10:33:00,PT1H20M,megabus Falcon,coach,11.2,183,13,85505491
